INFO:    User not listed in /etc/subuid, trying root-mapped namespace
INFO:    fakeroot command not found, using only root-mapped namespace
INFO:    gocryptfs not found, will not be able to use gocryptfs
[rank2]:[W321 08:14:41.920043217 ProcessGroupNCCL.cpp:5178] Guessing device ID based on global rank. This can cause a hang if rank to GPU mapping is heterogeneous. You can specify device_id in init_process_group()
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
he fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
INFO:megatron.core.timers:(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (755.06, 755.66)
    train/valid/test-data-iterators-setup ..........: (204.18, 211.34)
 [2026-03-21 08:15:00.688227] iteration        1/   10000 | consumed samples:         1024 | elapsed time per iteration (ms): 11938.3 | learning rate: 3.000000E-07 | global batch size:  1024 | lm loss: 1.070049E+01 | loss scale: 1.0 | grad norm: 9.945 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:15:09.747009] iteration        2/   10000 | consumed samples:         2048 | elapsed time per iteration (ms): 10498.4 | learning rate: 6.000000E-07 | global batch size:  1024 | lm loss: 1.070067E+01 | loss scale: 1.0 | grad norm: 10.152 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:15:18.804032] iteration        3/   10000 | consumed samples:         3072 | elapsed time per iteration (ms): 9056.8 | learning rate: 9.000000E-07 | global batch size:  1024 | lm loss: 1.070008E+01 | loss scale: 1.0 | grad norm: 10.126 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:15:27.855244] iteration        4/   10000 | consumed samples:         4096 | elapsed time per iteration (ms): 9051.1 | learning rate: 1.200000E-06 | global batch size:  1024 | lm loss: 1.068874E+01 | loss scale: 1.0 | grad norm: 9.947 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:15:36.897527] iteration        5/   10000 | consumed samples:         5120 | elapsed time per iteration (ms): 9042.1 | learning rate: 1.500000E-06 | global batch size:  1024 | lm loss: 1.066926E+01 | loss scale: 1.0 | grad norm: 10.092 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:15:45.961741] iteration        6/   10000 | consumed samples:         6144 | elapsed time per iteration (ms): 9064.0 | learning rate: 1.800000E-06 | global batch size:  1024 | lm loss: 1.065463E+01 | loss scale: 1.0 | grad norm: 10.030 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:15:55.025291] iteration        7/   10000 | consumed samples:         7168 | elapsed time per iteration (ms): 9063.4 | learning rate: 2.100000E-06 | global batch size:  1024 | lm loss: 1.056039E+01 | loss scale: 1.0 | grad norm: 9.845 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:16:04.246199] iteration        8/   10000 | consumed samples:         8192 | elapsed time per iteration (ms): 9220.7 | learning rate: 2.400000E-06 | global batch size:  1024 | lm loss: 1.052871E+01 | loss scale: 1.0 | grad norm: 9.786 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:16:13.319112] iteration        9/   10000 | consumed samples:         9216 | elapsed time per iteration (ms): 9072.8 | learning rate: 2.700000E-06 | global batch size:  1024 | lm loss: 1.028384E+01 | loss scale: 1.0 | grad norm: 10.226 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:16:22.397213] iteration       10/   10000 | consumed samples:        10240 | elapsed time per iteration (ms): 9077.9 | learning rate: 3.000000E-06 | global batch size:  1024 | lm loss: 1.018429E+01 | loss scale: 1.0 | grad norm: 10.606 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-03-21 08:16:31.480630] iteration       11/   10000 | consumed samples:        11264 | elapsed time per iteration (ms): 9083.3 | learning rate: 3.300000E-06 | global batch size:  1024 | lm loss: 1.012881E+01 | loss scale: 1.0 | grad norm: 10.896 | number of skipped iterations:   0 | number of nan iterations:   0 |
