step,error
1,0.0
2,0.0
3,7.999999999874774e-05
4,1.9999999999242846e-05
5,9.000000000014552e-05
6,0.004119999999998569
7,-1.9999999999242846e-05
8,-1.9999999999242846e-05
9,0.00023999999999979593
10,-9.999999999621423e-06
11,-0.00019999999999953388
12,-0.0005100000000002325
13,-0.0014699999999994162
14,-0.001809999999998979
15,-0.0032399999999999096
16,-0.0007020000000004245
17,-0.006484000000000378
18,-0.007319999999999993
19,-0.007943000000000922
20,-0.005663000000000196
21,-0.005798000000000414
22,-0.005841000000000207
23,-0.004945000000001087
24,-0.004562999999999207
25,-0.003729999999999123
26,-0.003632000000001412
27,-0.004070000000000462
28,-0.0035069999999990387
29,-0.0033119999999993155
30,-0.0034440000000000026
31,-0.003655000000000186
32,-0.003063000000000926
33,-0.003253999999998314
34,-0.0030559999999990595
35,-0.002974000000000032
36,-0.0027889999999999304
37,-0.0027159999999994966
38,-0.00280700000000067
39,-0.0028570000000005535
40,-0.002850999999999715
41,-0.0029869999999991848
42,-0.003083000000000169
43,-0.002776000000000778
44,-0.003201999999999927
45,-0.0033260000000012724
46,-0.003114000000000061
47,-0.0028690000000004545
48,-0.002793999999999741
49,-0.0024490000000003675
50,-0.002235000000000653
51,-0.00244599999999906
52,-0.003108000000000999
53,-0.0021489999999992904
54,-0.0021979999999999222
55,-0.002268000000000825
56,-0.002448000000001116
57,-0.0020249999999997215
58,-0.002356000000000691
59,-0.002830999999999584
60,-0.002938999999999581
61,-0.00043100000000073635
62,-0.0017399999999998528
63,-0.0038869999999997518
64,0.004783000000000648
65,0.01948900000000009
66,-0.023889000000000493
67,-0.012805000000000177
68,-0.004146000000000427
69,-0.00524699999999978
70,-0.007352000000000025
71,-0.019092000000000553
72,-0.005842000000000347
73,-0.006193999999999811
74,-0.005963999999999636
75,-0.016931999999999725
76,-0.007305000000000561
77,-0.005627999999999744
78,-0.011074999999999946
79,-0.00757199999999969
80,-0.003154999999999575
81,-0.0027929999999996014
82,0.0010110000000000952
83,-0.007540999999999798
84,0.00450200000000045
85,0.002429999999999488
86,-0.0018810000000000215
87,-0.015228999999999715
88,-0.008573000000000164
89,-0.012087000000000181
90,-0.005995999999999668
91,-0.008183999999999969
92,-0.012017000000000166
93,-0.01609700000000025
94,-0.003309999999999924
95,-0.015234999999999665
96,-0.0018159999999998178
97,-0.0011010000000002407
98,-0.005485999999999436
99,-0.0016090000000001936
100,0.011103000000000307
101,0.004916999999999838
102,-0.0026260000000002393
103,0.0013339999999999463
104,-0.003006000000000064
105,-0.0029479999999999507
106,-0.00911599999999968
107,-0.0004020000000002355
108,-0.0032560000000003697
109,-0.0033279999999997756
110,0.007966999999999835
111,-0.004709999999999326
112,0.009671999999999237
113,-0.006802000000000419
114,-0.0032409999999991612
115,0.0038970000000002614
116,-0.000364000000000253
117,-0.0012420000000004094
118,0.005346000000000295
119,-0.003670999999999758
120,0.005963000000000385
121,-0.005482999999999905
122,0.0030609999999997584
